/**
 * @filesource
 */
"id_efector","sala_nombre","sala_cant_camas","sala_mover_camas","habitacion_nombre","habitacion_sexo","habitacion_edad_desde","habitacion_edad_hasta","habitacion_tipo_edad","habitacion_cant_camas","habitacion_baja","cama_nombre","cama_id_clasificacion_cama","cama_estado","cama_rotativa","cama_baja"
"267","GERIATRIA VARONES","6","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"267","GERIATRIA VARONES","6","0","HABITACION UNICA","3","0","255","1","6","0","-1","-1","-1","-1","-1"
"267","GERIATRIA VARONES","6","0","HABITACION UNICA","3","0","255","1","6","0","GV-HU-CAMA 1","12","L","0","0"
"267","GERIATRIA VARONES","6","0","HABITACION UNICA","3","0","255","1","6","0","GV-HU-CAMA 2","12","O","0","0"
"267","GERIATRIA VARONES","6","0","HABITACION UNICA","3","0","255","1","6","0","GV-HU-CAMA 4","12","L","0","0"
"267","GERIATRIA VARONES","6","0","HABITACION UNICA","3","0","255","1","6","0","GV-HU-CAMA 5","12","O","0","0"
"267","GERIATRIA VARONES","6","0","HABITACION UNICA","3","0","255","1","6","0","GV-HU-CAMA 6","14","L","0","0"
"267","GERIATRIA VARONES","6","0","HABITACION UNICA","3","0","255","1","6","0","GV-HU-CAMA3","12","O","0","0"
"267","MEDICINA GENERAL MUJERES","6","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"267","MEDICINA GENERAL MUJERES","6","0","HABITACION 3","3","0","255","1","3","0","-1","-1","-1","-1","-1"
"267","MEDICINA GENERAL MUJERES","6","0","HABITACION 3","3","0","255","1","3","0","MGM-H3-CAMA 1","11","O","0","0"
"267","MEDICINA GENERAL MUJERES","6","0","HABITACION 3","3","0","255","1","3","0","MGM-H3-CAMA 2","12","O","0","0"
"267","MEDICINA GENERAL MUJERES","6","0","HABITACION 3","3","0","255","1","3","0","MGM-H3-CAMA 3","12","L","0","0"
"267","MEDICINA GENERAL MUJERES","6","0","HABITACION 4","3","0","255","1","3","0","-1","-1","-1","-1","-1"
"267","MEDICINA GENERAL MUJERES","6","0","HABITACION 4","3","0","255","1","3","0","MGM-H4-CAMA 1","12","L","0","0"
"267","MEDICINA GENERAL MUJERES","6","0","HABITACION 4","3","0","255","1","3","0","MGM-H4-CAMA 2","12","L","0","0"
"267","MEDICINA GENERAL MUJERES","6","0","HABITACION 4","3","0","255","1","3","0","MGM-H4-CAMA 3","12","L","0","0"
"267","MEDICINA GENERAL VARONES","6","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"267","MEDICINA GENERAL VARONES","6","0","HABITACION 5","3","0","255","1","3","0","-1","-1","-1","-1","-1"
"267","MEDICINA GENERAL VARONES","6","0","HABITACION 5","3","0","255","1","3","0","MGV-H5-CAMA 1","12","O","0","0"
"267","MEDICINA GENERAL VARONES","6","0","HABITACION 5","3","0","255","1","3","0","MGV-H5-CAMA 2","12","O","0","0"
"267","MEDICINA GENERAL VARONES","6","0","HABITACION 5","3","0","255","1","3","0","MGV-H5-CAMA 3","12","L","0","0"
"267","MEDICINA GENERAL VARONES","6","0","HABITACION 6","3","0","255","1","3","0","-1","-1","-1","-1","-1"
"267","MEDICINA GENERAL VARONES","6","0","HABITACION 6","3","0","255","1","3","0","MGV-H6-CAMA 1","12","L","0","0"
"267","MEDICINA GENERAL VARONES","6","0","HABITACION 6","3","0","255","1","3","0","MGV-H6-CAMA 2","12","L","0","0"
"267","MEDICINA GENERAL VARONES","6","0","HABITACION 6","3","0","255","1","3","0","MGV-H6-CAMA 3","12","L","0","0"
"267","OBSTETRICIA","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"267","OBSTETRICIA","3","0","HABITACION 2","2","0","255","1","3","0","-1","-1","-1","-1","-1"
"267","OBSTETRICIA","3","0","HABITACION 2","2","0","255","1","3","0","O-H2-CAMA 1","12","O","0","0"
"267","OBSTETRICIA","3","0","HABITACION 2","2","0","255","1","3","0","O-H2-CAMA 2","12","O","0","0"
"267","OBSTETRICIA","3","0","HABITACION 2","2","0","255","1","3","0","O-H2-CAMA 3","12","L","0","0"
"267","PEDIATRIA  CLINICA MEDICA INFANTIL","5","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"267","PEDIATRIA  CLINICA MEDICA INFANTIL","5","0","HABITACION UNICA","3","0","255","1","5","0","-1","-1","-1","-1","-1"
"267","PEDIATRIA  CLINICA MEDICA INFANTIL","5","0","HABITACION UNICA","3","0","255","1","5","0","PCMI-HU-CAMA 1","14","L","0","0"
"267","PEDIATRIA  CLINICA MEDICA INFANTIL","5","0","HABITACION UNICA","3","0","255","1","5","0","PCMI-HU-CAMA 2","14","O","0","0"
"267","PEDIATRIA  CLINICA MEDICA INFANTIL","5","0","HABITACION UNICA","3","0","255","1","5","0","PCMI-HU-CAMA 3","14","O","0","0"
"267","PEDIATRIA  CLINICA MEDICA INFANTIL","5","0","HABITACION UNICA","3","0","255","1","5","0","PCMI-HU-CAMA 4","14","O","0","0"
"267","PEDIATRIA  CLINICA MEDICA INFANTIL","5","0","HABITACION UNICA","3","0","255","1","5","0","PCMI-HU-CAMA 5","14","L","0","0"
